Quote	Author	URL	Title
A bad memory for the school material might result from the conditioned depreciation of knowledge that cuts off the recall and/or consolidation signal	Piotr Wozniak	https://supermemo.guru/wiki/How_school_turns_off_memory	How school turns off memory
A fallacy is less harmful than a shortage of creative thought.	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
A free young mind will quickly get rid of asemantic knowledge via fast-track forgetting	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
A good hour of self-learning is worth more than 10 hours of boredom in an average classroom!	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_and_learning	Sleep and learning
A single bias vector can turn rich knowledge of neuroscience into harm with far-reaching social consequences	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Abuse of variable reward can backfire	Piotr Wozniak	https://supermemo.guru/wiki/Reward_diversity_in_preventing_addictions	Reward diversity in preventing addictions
Adult ignorance of brain science explains why children fail to learn	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
All brainwork should be based on self-regulation and natural transitions to high creativity and/or rest. All forms of control will increase the fatigue and reduce the productivity	Piotr Wozniak	https://supermemo.guru/wiki/Optimizing_the_timing_of_brainwork	Optimizing the timing of brainwork
All forms of coercion in education should be eliminated	Piotr Wozniak	https://supermemo.guru/wiki/Abandon_early_math_instruction!	Abandon early math instruction!
All freedoms can be abused, which does not mean they should be taken away	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
All people with mood swings should consider learning as therapy.	Piotr Wozniak	https://supermemo.guru/index.php?title=Pleasure_of_learning&oldid=17070	Pleasure of learning
All the child needs for healthy development is access to rich environments and freedom to navigate those environments	Piotr Wozniak	https://supermemo.guru/wiki/Baby_management	Baby management
As a result of schooling, children rapidly lose their passion for learning, joy of exercise, and the zest for life in general	Piotr Wozniak	https://supermemo.guru/wiki/Destructive_impact_of_praise_in_learning	Destructive impact of praise in learning
As it is possible to condition a Pavlov's dog to fear the sound of a bell, it is possible to condition a human being to panic at the sight of a math formula	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
As much as all electronic equipment provides conditions of good use, the brain manual calls for brain hygiene that includes smart learning and plenty of sleep	Piotr Wozniak	https://supermemo.guru/wiki/How_schools_can_contribute_to_Alzheimer%27s_disease	How schools can contribute to Alzheimer's disease
As the day goes on, our ability to recall facts from memory is getting worse and worse	Piotr Wozniak	https://supermemo.guru/wiki/Sleep_and_learning	Sleep and learning
At school, instead of learning, kids often learn to dislike learning	Piotr Wozniak	https://supermemo.guru/wiki/How_school_turns_off_memory	How school turns off memory
Bad employment of SuperMemo might suppress the learn drive!	Piotr Wozniak	https://supermemo.guru/wiki/Modern_schooling_is_like_Soviet_economy	Modern schooling is like Soviet economy
Before puberty, brain development is more about structural crystallization than about declarative learning. This is why play and exploration should receive priority over schooling	Piotr Wozniak	https://supermemo.guru/wiki/Childhood_amnesia	Childhood amnesia
Boundaries are more often used to keep kids limited rather than keeping them safe	Piotr Wozniak	https://supermemo.guru/wiki/Optimization_of_behavioral_spaces_in_development	Optimization of behavioral spaces in development
Brain connectivity is determined by functional demand	Piotr Wozniak	https://supermemo.guru/wiki/Concept_network	Concept network
By sketching the climbing pathways, we slow down or prevent the new generation from scaling new heights	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
By taking away all youth for focused study, we destroy the creative potential in the young generation. It is time for all educators, teachers, and parents who did not get this message to wake up and understand that we need both: Focus and Creativity	Piotr Wozniak	https://supermemo.guru/wiki/Confusing_creativity_with_ADHD	Confusing creativity with ADHD
Childhood passions can germinate and branch out in many directions. All they need is a conducive exploratory environment. Passions feed on time, love, and access to knowledge. The latter is pretty easy in the era of the Internet	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Children are great generalizing machines, but they are equally great at forgetting	Piotr Wozniak	https://supermemo.guru/wiki/Mechanism_of_forgetting	Mechanism of forgetting
Children often hate school and they have well justified reasons	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Children should be able to dream and pursue naïve passions. Those are seeds of future great ideas	Piotr Wozniak	https://supermemo.guru/wiki/Resistance	Reactance
Children should be allowed to soak in knowledge at high speeds, instead of being tormented with a trickle of bits transmitted at slow rate in an inefficient code	Piotr Wozniak	https://supermemo.guru/wiki/Tunnel_vision_of_school_letteracy	Tunnel vision of school letteracy
Children struggle with formal schooling due to (1) volatile memory, (2) limited knowledge, and (3) poor metacognitive skills	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
Classrooms hurt discovery learning more than they hurt the cognitive response to direct instruction. The culprit is the classrooms, not the discovery	Piotr Wozniak	https://supermemo.guru/wiki/Direct_instruction_blocks_pathways_to_great_discoveries	Direct instruction blocks pathways to great discoveries
Coercion, by definition, violates the Fundamental law of learning	Piotr Wozniak	https://supermemo.guru/wiki/Can_coercion_cause_dyslexia%3F	Can coercion cause dyslexia?
Cognitive biases and ancient mythology make schools evolve towards their own demise	Piotr Wozniak	https://supermemo.guru/wiki/Asemantic_curriculum	Asemantic curriculum
Cognitive biases and bad design make school curriculum evolve towards increasing school hate	Piotr Wozniak	https://supermemo.guru/wiki/Asemantic_curriculum	Asemantic curriculum
Cognitive development counts more than academic achievement!	Piotr Wozniak	https://supermemo.guru/wiki/Daycare_infections	Daycare infections
Combating ADHD with medication may suppress the benefits that come with a creative mind	Piotr Wozniak	https://supermemo.guru/wiki/I_have_ADHD_and_I_love_it	I have ADHD and I love it
Compulsory schooling is a blatant violation of human rights	Piotr Wozniak	https://supermemo.guru/wiki/Compulsory_schooling_must_end	Compulsory schooling must end
Compulsory schooling is a violation of human rights	Piotr Wozniak	https://supermemo.guru/wiki/10_mortal_sins_of_schooling	10 mortal sins of schooling
Compulsory schooling triggers mechanisms that block exploratory learning that underlies efficient acquisition of knowledge and skills	Piotr Wozniak	https://supermemo.guru/wiki/Education_counteracts_evolution	Education counteracts evolution
Conceptual computation (reasoning) is a simple chain of connected concepts streaming through the mind	Piotr Wozniak	https://supermemo.guru/wiki/Conceptual_computation	Conceptual computation
Conceptual computation is a simple chain of connected concepts streaming through your mind. Even the most complex problems can be reduced to simple links between simple ideas	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Creativity and attention stand in opposition. In the waking state, we gradually lose creative powers, but gain on the ability to focus	Piotr Wozniak	https://supermemo.guru/wiki/How_to_solve_any_problem%3F	How to solve any problem?
Curriculum is intended to serve as a guiding light, instead it usually becomes a tool of coercion and a cause of slow learning and stunted creativity	Piotr Wozniak	https://supermemo.guru/wiki/Curriculum	Curriculum
Denying freedom is unethical and dangerous. Deniers can be denied their freedoms too	Piotr Wozniak	https://supermemo.guru/wiki/Ban_on_homeschooling	Ban on homeschooling
Digital devices and Google are a blessing for education	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Digital media is the antabuse of multitasking. The pain of disruption makes the need for remedies obvious	Piotr Wozniak	https://supermemo.guru/wiki/The_morbid_myth_of_Digital_Dementia	The morbid myth of Digital Dementia
Disagreements in science are the engine of progress	Piotr Wozniak	https://supermemo.guru/wiki/School_curriculum_is_inherently_political	School curriculum is inherently political
Displeasure in learning carries a risk of developing toxic memories that may have a dramatic long-term impact on the Learn drive (i.e. interest in learning)	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Disrespect for the hygiene of learning can be detrimental for the brain	Piotr Wozniak	https://supermemo.guru/wiki/Bad_learning_contributes_to_Alzheimer%27s	Bad learning contributes to Alzheimer's
Diversity of reward is an important defense against the dangers of variable reward. Reward diversity is preventive in depression	Piotr Wozniak	https://supermemo.guru/wiki/Reward_diversity_in_preventing_addictions	Reward diversity in preventing addictions
Do not invest in schooling in the industrialized world. This brings miniscule returns on investment. Invest in bringing the web to all kids in all corners of the world. This will change this planet!	Piotr Wozniak	https://supermemo.guru/wiki/Bill_Gates_is_wrong_about_education	Bill Gates is wrong about education
Due to an exponential increase in the awareness of the bad effects of schooling, reforms in the direction of free learning are inevitable, and not far away	Piotr Wozniak	https://supermemo.guru/wiki/School	School
Due to its negative impact on the learn drive, passive schooling suppresses long-term learning, creativity and intelligence	Piotr Wozniak	https://supermemo.guru/wiki/Passive_schooling	Passive schooling
During a waking day, we progressively move from high alertness to high sleepiness along a homeostatic curve	Piotr Wozniak	https://supermemo.guru/wiki/Homeostatic	Homeostatic sleep propensity
Early academic instruction is harmful. It undermines child's intelligence by interfering with the conceptualization process of the growing brain	Piotr Wozniak	https://supermemo.guru/wiki/Conceptualization_theory_of_childhood_amnesia	Conceptualization theory of childhood amnesia
Early academic instruction without the consent of the child is inhumane and a violation of a child's rights	Piotr Wozniak	https://supermemo.guru/wiki/I_would_never_send_my_kids_to_school	I would never send my kids to school
Early education must be child-led education at the risk of inflicting harm on young brains!	Piotr Wozniak	https://supermemo.guru/wiki/SuperMemo_does_not_work_for_kids	SuperMemo does not work for kids
Early instruction may provide a semblance of learning, while affecting passions, preferences, and brain potential for decades	Piotr Wozniak	https://supermemo.guru/wiki/Semantic_aspects_of_childhood_amnesia	Semantic aspects of childhood amnesia
Ebbinghaus methodology in investigating memory may provide a false impression that human memory is wildly more volatile than it actually is	Piotr Wozniak	https://supermemo.guru/wiki/Error_of_Ebbinghaus_forgetting_curve	Error of Ebbinghaus forgetting curve
